PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONL	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	PACKAGE_ID	STATUS	LAST_CHANGED
International Journal of Food Engineering	2194-5764	1556-3758	2019-02-20	15	1-2	2019-12-20	15	11-12	https://www.degruyter.com/openurl?genre=journal&issn=1556-3758		1556-3758		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Mammalia	0025-1461	1864-1547	2019-01-25	83	1	2019-11-20	83	6	https://www.degruyter.com/openurl?genre=journal&issn=1864-1547		1864-1547		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Neuroforum	0947-0875	2363-7013	2019-02-20	25	1	2019-11-20	25	4	https://www.degruyter.com/openurl?genre=journal&issn=2363-7013		2363-7013		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Nordic Pulp & Paper Research Journal	0283-2631	2000-0669	2019-03-20	34	1	2019-12-20	34	4	https://www.degruyter.com/openurl?genre=journal&issn=2000-0669		2000-0669		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Nanotechnology Reviews	2191-9089	2191-9097	2019-02-20	8	1	2019-12-20	8	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-9097		2191-9097		fulltext	Online	De Gruyter	serial								F	JPBCG19	current	2022-10-21
Oceanological and Hydrobiological Studies		1897-3191	2021-03-20	50	1				https://sciendo.com/journal/OANDHS		1897-3191		fulltext	Online	Sciendo	serial								F	JPBCG19	current	2022-10-21
Pure and Applied Chemistry	0033-4545	1365-3075	2019-01-20	91	1	2019-12-20	91	12	https://www.degruyter.com/openurl?genre=journal&issn=1365-3075		1365-3075		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Journal of Polymer Engineering	0334-6447	2191-0340	2019-01-15	39	1	2019-11-15	39	10	https://www.degruyter.com/openurl?genre=journal&issn=2191-0340		2191-0340		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Radiochimica Acta	0033-8230	2193-3405	2019-01-15	107	1	2019-12-15	107	12	https://www.degruyter.com/openurl?genre=journal&issn=2193-3405		2193-3405		fulltext	Online	De Gruyter (O)	serial								P	JPBCG19	current	2022-10-21
Reviews in Analytical Chemistry	0793-0135	2191-0189	2019-03-15	38	1	2019-12-15	38	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-0189		2191-0189		fulltext	Online	De Gruyter	serial								F	JPBCG19	current	2022-10-21
Reviews in Chemical Engineering	0167-8299	2191-0235	2019-01-20	35	1	2019-11-20	35	8	https://www.degruyter.com/openurl?genre=journal&issn=2191-0235		2191-0235		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Reviews in Inorganic Chemistry	0193-4929	2191-0227	2019-03-31	39	1	2019-12-15	39	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-0227		2191-0227		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Reviews in the Neurosciences	0334-1763	2191-0200	2019-02-15	30	1	2019-12-20	30	8	https://www.degruyter.com/openurl?genre=journal&issn=2191-0200		2191-0200		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Statistical Applications in Genetics and Molecular Biology	2194-6302	1544-6115	2019-02-01	18	1	2019-12-15	18	6	https://www.degruyter.com/openurl?genre=journal&issn=1544-6115		1544-6115		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Turkish Journal of Biochemistry	0250-4685	1303-829X	2019-02-15	44	1	2019-12-15	44	6	https://www.degruyter.com/openurl?genre=journal&issn=1303-829X		1303-829X		fulltext	Online	De Gruyter	serial								F	JPBCG19	current	2022-10-21
Zeitschrift für Kristallographie - Crystalline Materials 	2194-4946	2196-7105	2019-01-15	234	1	2019-12-15	234	11-12	https://www.degruyter.com/openurl?genre=journal&issn=2196-7105		2196-7105		fulltext	Online	De Gruyter (O)	serial								P	JPBCG19	current	2022-10-21
Zeitschrift für Naturforschung B	0932-0776	1865-7117	2019-01-20	74	1	2019-12-20	74	11-12	https://www.degruyter.com/openurl?genre=journal&issn=1865-7117		1865-7117		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Zeitschrift für Naturforschung C	0939-5075	1865-7125	2019-01-20	74	1-2	2019-11-20	74	11-12	https://www.degruyter.com/openurl?genre=journal&issn=1865-7125		1865-7125		fulltext	Online	De Gruyter	serial								P	JPBCG19	current	2022-10-21
Zeitschrift für Physikalische Chemie	0942-9352	2196-7156	2019-01-15	233	1	2019-12-15	233	12	https://www.degruyter.com/openurl?genre=journal&issn=2196-7156		2196-7156		fulltext	Online	De Gruyter (O)	serial								P	JPBCG19	current	2022-10-21
